ts	phase	decision	why	evidence	result
2026-08-29T17:40:00Z	frame	checked the review's four code citations against the source before writing any of them into the docs	a citation that has already moved will be copied forward and trusted	packages/webmcp/src/capability.ts:284, packages/webmcp/src/runtime.ts:205	three of four were stale, substance of all four held
2026-08-29T17:45:00Z	frame	scoped operation-plan.md to generated and inferred capabilities instead of writing it from scratch	docs/architecture.md lines 275-482 already specify the shipped plan machinery	docs/architecture.md	avoided duplicating about 200 lines of shipped documentation
2026-08-29T17:48:00Z	frame	kept the doc's position that activeTab alone is insufficient, against the review's correction 2	browser-extension.md already specified the right flow in prose; only the code block contradicted it	docs/design/browser-extension.md:288-301	narrowed correction 2 to the WXT entrypoint block
2026-08-29T17:55:00Z	harness	wrote scripts/check-design-docs.mjs and ran it before editing anything	needed a check that fails on the current docs, otherwise passing proves nothing	scripts/check-design-docs.mjs	31 failures on the pre-change docs
2026-08-29T17:56:00Z	harness	made docs anchor code by symbol name in an HTML comment, not by line number	the stale citations above are exactly the drift line numbers cause	docs/design/*.md code-anchors blocks	28 anchors checked, all resolve
2026-08-29T18:10:00Z	browser-extension	split enforcement into owned and augment modes	the extension cannot retire a tool the page registered imperatively, so exclusive enforcement was never true there	docs/design/browser-extension.md:85	correction 1 landed
2026-08-29T18:14:00Z	browser-extension	replaced single-axis trust with sourceKind, semanticProvenance, executionOwnership, contentTrust	native tools are authoritative about mechanics and still untrusted as content	docs/design/browser-extension.md:114	correction 6 landed
2026-08-29T18:18:00Z	browser-extension	emptied matches in the runtime-registered entrypoint	WXT copies matches into host_permissions, so the old block requested broad access the same doc promised not to	docs/design/browser-extension.md:328	correction 2 landed
2026-08-29T18:24:00Z	browser-extension	added filled, submitted, abandoned records with submitted values read from the form	logging the agent's input proves what was requested, not what a human sent	docs/design/browser-extension.md:185	correction 8 landed
2026-08-29T18:30:00Z	browser-extension	branched milestone 1 on the registration experiment	forms only and bootstrap contract registered cannot both hold, bootstrap tools are imperative	docs/design/browser-extension.md:395	correction 3 landed
2026-08-29T18:40:00Z	auto-sdk	split risk into mutability and consequence, defaulted any mutation to CONSEQUENTIAL	riskBasedPolicy allows WRITE, so a POST-derived refund would have executed unapproved	packages/webmcp/src/policy.ts:25	correction 5 landed, the sharpest of the eight
2026-08-29T18:46:00Z	auto-sdk	introduced CapabilityManifestEntry and compileManifestEntry as a compile step	defineCapability throws on a consequential capability with no approval evidence, so the manifest cannot feed the runtime directly	packages/webmcp/src/capability.ts:284	correction 4 landed
2026-08-29T18:50:00Z	both	replaced the rename framing with a CapabilityProvider interface extracted first	createAgentDeskRuntime constructs the adapter and tool surface itself, so the separation does not exist yet	packages/webmcp/src/runtime.ts:205,294	correction 7 landed
2026-08-29T19:05:00Z	new-specs	wrote adapter-contract.md with the adapter holding no credential and returning a request plan rather than sending it	approval needs the request in hand before it is sent, and an adapter that executes could bypass policy	docs/design/adapter-contract.md	eight required sections present
2026-08-29T19:20:00Z	new-specs	wrote operation-plan.md around PlanAssurance, computed at compile time	every shipped guarantee delegates to an author-supplied function that generated capabilities do not have	docs/design/operation-plan.md	degradations named rather than skipped
2026-08-29T19:30:00Z	readme	replaced the submission-date deferral with seven checkable milestone gates	a date is not a safety property, and gate 2 can still change the architecture	docs/design/README.md:72	correction to README:4 landed
2026-08-29T19:35:00Z	verify	ran the check against the finished docs	the harness had to go from red to green on the same table	scripts/check-design-docs.mjs	VERIFIED, 32 claims and 28 anchors pass
2026-08-29T20:15:00Z	rebase	rebased onto main and added the verifier prerequisite to reversal	PR #2 made undo depend on verify, and a generated capability usually has neither	docs/design/operation-plan.md:131, commit 1167867	anchors still resolve, four gates green
